time_ps,RMSD_conformation_A,heavy_geometric_radius_A,protein_CA_RMSD_A,ligand_EGFR_fit_RMSD_A,site_center_distance_A,series,included
2370.0,1.919744,5.3048973,3.516673,4.309192,0.4759153,replica_01_seed20260931,True
2380.0,1.5804149,5.3250985,3.5903726,4.2374887,0.52033466,replica_01_seed20260931,True
2390.0,1.608202,5.2951365,3.7107644,4.169721,0.5011483,replica_01_seed20260931,True
2400.0,1.7835634,5.185708,3.7816188,4.368374,0.4304886,replica_01_seed20260931,True
2410.0,2.0747843,5.171091,3.9049432,4.396506,0.6136293,replica_01_seed20260931,True
2420.0,2.0292144,5.2084627,3.8148918,4.0500546,0.9585846,replica_01_seed20260931,True
2430.0,1.8164439,5.2176647,3.8389423,4.5388536,0.4274059,replica_01_seed20260931,True
2440.0,1.8895942,5.3269815,3.8854556,4.13945,0.19095165,replica_01_seed20260931,True
2450.0,1.921094,5.3120823,3.9602447,4.364584,0.3300549,replica_01_seed20260931,True
2460.0,2.097784,5.1751776,4.1556783,4.553816,0.5135525,replica_01_seed20260931,True
2470.0,1.9257464,5.217473,4.241355,4.4152956,0.24528724,replica_01_seed20260931,True
2480.0,2.0077248,5.266726,4.300716,4.2216673,0.25263453,replica_01_seed20260931,True
2490.0,2.095334,5.2363615,4.29182,4.340925,0.25389048,replica_01_seed20260931,True
2500.0,2.0387957,5.2920246,4.4212255,4.2404175,0.58742714,replica_01_seed20260931,True
2510.0,2.0526342,5.2515516,4.330639,4.695013,0.7569713,replica_01_seed20260931,True
2520.0,2.153382,5.371772,4.127917,4.7723627,0.1761007,replica_01_seed20260931,True
2530.0,2.153063,5.302002,4.0728264,4.464163,0.6121483,replica_01_seed20260931,True
2540.0,2.0213256,5.277719,4.0453596,4.4989386,0.45443076,replica_01_seed20260931,True
2550.0,2.064999,5.2297397,3.8839417,4.582824,0.42916054,replica_01_seed20260931,True
2560.0,2.0601242,5.2084866,4.139444,4.3991675,0.56719357,replica_01_seed20260931,True
2570.0,2.097187,5.1985126,4.120235,4.119176,0.31787184,replica_01_seed20260931,True
2580.0,2.115635,5.354176,4.2870255,4.2763686,0.44430256,replica_01_seed20260931,True
2590.0,2.171362,5.2741566,4.357222,4.3032002,0.5146017,replica_01_seed20260931,True
2600.0,2.2999647,5.2460527,4.4984775,4.071275,0.4688818,replica_01_seed20260931,True
2610.0,2.4392548,5.2719812,4.584231,4.5604343,0.24693274,replica_01_seed20260931,True
2620.0,2.200387,5.3637924,4.734723,4.0260673,0.16008131,replica_01_seed20260931,True
2630.0,2.295876,5.373981,4.9630756,4.3845334,0.26722592,replica_01_seed20260931,True
2640.0,2.244976,5.322548,4.909274,4.1187615,0.27680147,replica_01_seed20260931,True
2650.0,2.1801605,5.217669,4.834869,4.209185,0.27321717,replica_01_seed20260931,True
2660.0,2.1089025,5.395658,4.885358,4.3137536,0.4762356,replica_01_seed20260931,True
2670.0,2.2397547,5.232079,4.911502,4.369703,0.7608339,replica_01_seed20260931,True
2680.0,2.2128563,5.277231,4.9286366,4.1951585,0.5538149,replica_01_seed20260931,True
2690.0,2.254148,5.2311993,4.9320774,4.21585,0.45417133,replica_01_seed20260931,True
2700.0,2.4093053,5.2666655,5.0154877,4.0221076,0.39688945,replica_01_seed20260931,True
2710.0,2.2577772,5.1928453,4.9733152,3.844046,0.52533853,replica_01_seed20260931,True
2720.0,2.0103316,5.2775292,5.0821295,3.8399932,0.53096336,replica_01_seed20260931,True
2730.0,2.256783,5.3615084,4.852318,4.161724,0.5130532,replica_01_seed20260931,True
2740.0,2.154828,5.2678614,4.750763,3.769864,0.30575427,replica_01_seed20260931,True
2750.0,2.2205057,5.254343,4.83771,3.6617744,0.5557595,replica_01_seed20260931,True
2760.0,2.2998085,5.392649,4.945714,3.6602116,0.5000835,replica_01_seed20260931,True
2770.0,2.1866736,5.2378206,4.9049606,3.7037632,0.46746236,replica_01_seed20260931,True
2780.0,2.2967482,5.235884,5.021351,3.7514877,0.4802788,replica_01_seed20260931,True
2790.0,1.9598306,5.29716,5.0968413,3.6156268,0.42713943,replica_01_seed20260931,True
2800.0,2.1852746,5.282771,5.0098267,3.7732837,0.21472304,replica_01_seed20260931,True
2810.0,2.282543,5.242734,5.04868,4.0551558,0.48665816,replica_01_seed20260931,True
2820.0,2.3533218,5.2397375,5.0855103,4.0297937,0.42033386,replica_01_seed20260931,True
2830.0,2.1626012,5.3055425,4.849616,3.8344102,0.87097317,replica_01_seed20260931,True
2840.0,1.9123635,5.3327436,4.9894657,3.7842016,0.41691807,replica_01_seed20260931,True
2850.0,1.9822831,5.1964636,4.988266,3.803423,0.45226556,replica_01_seed20260931,True
2860.0,1.7117863,5.265279,5.1718903,3.6924453,0.43518957,replica_01_seed20260931,True
2870.0,1.8074191,5.27186,5.150964,3.851808,0.2886715,replica_01_seed20260931,True
2880.0,1.7086877,5.2323656,5.0420876,3.4874752,0.80842376,replica_01_seed20260931,True
2890.0,1.7209958,5.311084,4.795486,3.5438294,0.83088696,replica_01_seed20260931,True
2900.0,1.4225,5.321005,4.861538,3.6138449,0.5839081,replica_01_seed20260931,True
2910.0,1.6183491,5.2346044,5.0105104,3.595902,1.0371506,replica_01_seed20260931,True
2920.0,1.942219,5.312371,4.992096,3.72361,0.95923257,replica_01_seed20260931,True
